"cond","needs","nfc","age","gender","relation_type","rel_val","expect"
1,1.625,5,28,"Woman","Friendship",6.6,6
1,2.625,3.73333333333333,26,"Man","Casually Dating",4.8,3
2,4.5,5.33333333333333,27,"Woman","Romantic Relationship",5.6,7
2,6.5,5.6,22,"Woman","Romantic Relationship",7,1
3,2.375,2.26666666666667,26,"Woman","Friendship",4.8,2
1,3,4.8,24,"Woman","Casually Dating",6.4,7
3,2.25,5.73333333333333,28,"Woman","Friendship",4.8,3
1,2.625,4.53333333333333,26,"Man","Casually Dating",4.6,6
3,2.625,5.46666666666667,29,"Woman","Romantic Relationship",6.8,7
2,6.125,4.33333333333333,18,"Woman","Friendship",4.6,4
2,6.375,4.6,23,"Woman","Casually Dating",6,6
1,3.625,4.26666666666667,26,"Man","Friendship",2.4,5
1,1.75,3.73333333333333,27,"Man","Friendship",5,7
3,2.375,4.8,26,"Man","Friendship",4.4,6
2,5.875,5.33333333333333,27,"Woman","Friendship",6.6,6
1,2.25,4.26666666666667,22,"Woman","Friendship",1,7
1,1.625,3.8,28,"Woman","Romantic Relationship",6.4,6
1,3.625,3.93333333333333,21,"Man","Friendship",4.2,4
3,2.875,4.4,23,"Woman","Casually Dating",4.4,4
1,2,4.66666666666667,25,"Woman","Friendship",5.6,7
2,7,4.06666666666667,27,"Woman","Friendship",7,6
3,2.25,4.6,28,"Woman","Romantic Relationship",3.6,5
2,6,2.66666666666667,27,"Man","Friendship",5.8,5
2,5.875,5.13333333333333,28,"Woman","Casually Dating",6.4,3
2,6.25,5.46666666666667,22,"Man","Friendship",6.4,4
3,3,3.93333333333333,20,"Woman","Casually Dating",6.6,5
3,3.125,4.53333333333333,20,"Woman","Casually Dating",7,7
1,2.375,4.2,22,"Woman","Friendship",3.2,5
3,2.25,5,20,"Woman","Romantic Relationship",6,2
1,2.125,4.46666666666667,22,"Man","Friendship",5.2,7
1,5.5,3.2,28,"Man","Casually Dating",5.2,7
3,4.375,2.8,28,"Man","Casually Dating",5,3
2,6.375,6,29,"Woman","Friendship",7,1
1,3.875,2,25,"Woman","Friendship",3.2,5
2,6.375,6.13333333333333,21,"Man","Romantic Relationship",6.8,5
1,2.25,5.6,26,"Woman","Casually Dating",4.8,5
2,4.875,4.8,29,"Woman","Casually Dating",2.4,5
2,6.5,5.53333333333333,28,"Man","Friendship",7,4
3,2.5,5,23,"Woman","Romantic Relationship",7,7
3,3.125,4.4,21,"Man","Friendship",4.6,2
1,1,5.26666666666667,21,"Woman","Romantic Relationship",6,3
2,5.625,5.2,23,"Man","Friendship",3.6,3
3,1.75,4.73333333333333,22,"Woman","Friendship",7,7
1,1.75,4.86666666666667,21,"Man","Friendship",5.2,5
1,3.375,6.06666666666667,20,"Woman","Casually Dating",4,4
2,6.5,5.2,28,"Woman","Casually Dating",7,4
1,2,5.06666666666667,25,"Man","Friendship",6.8,7
3,4,5.33333333333333,19,"Woman","Casually Dating",3.2,4
1,1.875,5,21,"Man","Friendship",4.4,3
3,2.625,3.93333333333333,21,"Woman","Friendship",3.2,2
3,3.125,4.46666666666667,23,"Woman","Friendship",4.4,4
3,1.5,5.86666666666667,28,"Man","Romantic Relationship",6.6,4
1,2.75,5.33333333333333,26,"Woman","Romantic Relationship",4.6,4
2,5.75,5.93333333333333,19,"Woman","Friendship",6.8,6
2,6.375,3.86666666666667,23,"Man","Casually Dating",7,5
3,2.25,3.53333333333333,22,"Woman","Friendship",7,6
2,6,5.33333333333333,29,"Man","Casually Dating",5.2,4
1,2.5,4.66666666666667,26,"Woman","Casually Dating",5.6,5
1,3.375,4.8,22,"Woman","Casually Dating",4.6,5
2,6.25,4.66666666666667,29,"Man","Romantic Relationship",7,7
1,1.375,4.86666666666667,26,"Woman","Friendship",5.2,6
2,6,3.2,27,"Woman","Friendship",4.4,5
2,5.5,6.06666666666667,29,"Woman","Casually Dating",6.4,6
1,2.375,5,27,"Woman","Friendship",2.4,3
