"id","likelihood","curstate","predout","tempdist","age","gender"
131,5,"peace","war","20yr",19,"male"
132,4,"peace","war","1yr",24,"female"
132,6,"peace","war","20yr",24,"female"
133,4,"peace","war","1yr",48,"female"
133,6,"peace","war","20yr",48,"female"
134,4,"peace","war","1yr",48,"male"
134,7,"peace","war","20yr",48,"male"
135,5,"peace","war","1yr",20,"male"
135,5,"peace","war","20yr",20,"male"
136,5,"peace","war","1yr",27,"female"
136,5,"peace","war","20yr",27,"female"
137,5,"peace","war","1yr",45,"male"
137,5,"peace","war","20yr",45,"male"
138,5,"peace","war","1yr",25,"male"
138,5,"peace","war","20yr",25,"male"
139,5,"peace","war","1yr",29,"male"
139,6,"peace","war","20yr",29,"male"
140,5,"peace","war","1yr",18,"male"
140,6,"peace","war","20yr",18,"male"
141,5,"peace","war","1yr",19,"male"
141,6,"peace","war","20yr",19,"male"
142,5,"peace","war","1yr",31,"female"
142,6,"peace","war","20yr",31,"female"
143,5,"peace","war","1yr",25,"male"
143,6,"peace","war","20yr",25,"male"
144,5,"peace","war","1yr",32,"female"
144,6,"peace","war","20yr",32,"female"
145,5,"peace","war","1yr",22,"male"
145,6,"peace","war","20yr",22,"male"
146,5,"peace","war","1yr",34,"female"
146,6,"peace","war","20yr",34,"female"
147,5,"peace","war","1yr",23,"male"
147,7,"peace","war","20yr",23,"male"
148,6,"peace","war","1yr",30,"female"
148,2,"peace","war","20yr",30,"female"
149,6,"peace","war","1yr",45,"female"
149,5,"peace","war","20yr",45,"female"
150,6,"peace","war","1yr",57,"female"
150,6,"peace","war","20yr",57,"female"
151,6,"peace","war","1yr",40,"male"
151,6,"peace","war","20yr",40,"male"
152,6,"peace","war","1yr",36,"male"
152,6,"peace","war","20yr",36,"male"
153,6,"peace","war","1yr",26,"male"
153,7,"peace","war","20yr",26,"male"
154,6,"peace","war","1yr",49,"male"
154,7,"peace","war","20yr",49,"male"
155,7,"peace","war","1yr",25,"male"
155,6,"peace","war","20yr",25,"male"
156,7,"peace","war","1yr",25,"female"
156,7,"peace","war","20yr",25,"female"
157,1,"war","peace","1yr",37,"male"
157,3,"war","peace","20yr",37,"male"
158,1,"war","peace","1yr",50,"male"
158,3,"war","peace","20yr",50,"male"
159,1,"war","peace","1yr",25,"female"
159,4,"war","peace","20yr",25,"female"
160,1,"war","peace","1yr",21,"other"
160,4,"war","peace","20yr",21,"other"
161,1,"war","peace","1yr",22,"male"
161,5,"war","peace","20yr",22,"male"
162,1,"war","peace","1yr",21,"female"
162,6,"war","peace","20yr",21,"female"
163,1,"war","peace","1yr",23,"female"
163,6,"war","peace","20yr",23,"female"
164,2,"war","peace","1yr",45,"female"
164,2,"war","peace","20yr",45,"female"
165,2,"war","peace","1yr",18,"male"
165,3,"war","peace","20yr",18,"male"
166,2,"war","peace","1yr",51,"female"
166,3,"war","peace","20yr",51,"female"
167,2,"war","peace","1yr",40,"female"
167,4,"war","peace","20yr",40,"female"
168,2,"war","peace","1yr",46,"female"
168,4,"war","peace","20yr",46,"female"
169,2,"war","peace","1yr",28,"male"
169,4,"war","peace","20yr",28,"male"
170,2,"war","peace","1yr",35,"female"
170,5,"war","peace","20yr",35,"female"
171,2,"war","peace","1yr",22,"male"
171,5,"war","peace","20yr",22,"male"
172,2,"war","peace","1yr",47,"male"
172,5,"war","peace","20yr",47,"male"
173,2,"war","peace","1yr",35,"female"
173,5,"war","peace","20yr",35,"female"
174,2,"war","peace","1yr",39,"male"
174,5,"war","peace","20yr",39,"male"
175,2,"war","peace","1yr",23,"female"
175,5,"war","peace","20yr",23,"female"
176,2,"war","peace","1yr",24,"female"
176,5,"war","peace","20yr",24,"female"
177,2,"war","peace","1yr",32,"male"
177,6,"war","peace","20yr",32,"male"
178,2,"war","peace","1yr",24,"female"
