"gender","age","format","purchased","amount","meanval","elength"
"male",37,"quantity-integrated",0,0,0.258064516,84
"male",45,"quantity-sequential",0,0,0.387096774,202
"female",31,"quantity-integrated",0,0,0.421875,129
"male",30,"quantity-integrated",1,2,0.790322581,157
"male",21,"quantity-integrated",1,2,0.558823529,205
"male",32,"quantity-sequential",1,4,0.661764706,279
"female",44,"quantity-sequential",0,0,0.106060606,28
"female",60,"quantity-integrated",0,0,0.575757576,174
"male",37,"quantity-integrated",1,1,0.655172414,461
"male",31,"quantity-sequential",0,0,0.470588235,276
"male",26,"quantity-sequential",0,0,0.419354839,365
"female",41,"quantity-sequential",0,0,0.586206897,106
"male",40,"quantity-sequential",0,0,0.28125,135
"female",34,"quantity-integrated",0,0,0.46875,267
"female",33,"quantity-integrated",1,1,0.596774194,61
"male",35,"quantity-integrated",0,0,0.640625,384
"female",24,"quantity-integrated",1,2,0.720588235,164
"female",32,"quantity-integrated",0,0,0.758064516,360
"female",37,"quantity-sequential",0,0,0.621212121,459
"female",57,"quantity-sequential",0,0,0.234375,164
"male",27,"quantity-sequential",0,0,0.15625,65
"male",51,"quantity-integrated",0,0,0.409090909,152
"female",34,"quantity-sequential",0,0,0.588235294,308
"female",34,"quantity-sequential",0,0,0.532258065,359
"male",21,"quantity-integrated",0,0,0.227272727,97
"female",29,"quantity-integrated",0,0,0.265625,208
"male",32,"quantity-sequential",1,1,0.733333333,169
"female",35,"quantity-integrated",1,1,0.5625,280
"female",33,"quantity-integrated",1,1,0.647058824,141
"female",40,"quantity-integrated",0,0,0.064516129,53
"male",29,"quantity-integrated",1,3,0.734375,122
"female",53,"quantity-integrated",1,1,0.727272727,235
"male",56,"quantity-sequential",0,0,0.125,124
"male",21,"quantity-sequential",0,0,0.21875,362
"female",38,"quantity-integrated",0,0,0.636363636,345
"male",42,"quantity-sequential",0,0,0.4375,190
"female",33,"quantity-integrated",1,1,0.55,98
"female",33,"quantity-integrated",0,0,0.28125,149
"female",22,"quantity-integrated",1,1,0.35483871,249
"male",32,"quantity-sequential",0,0,0.393939394,214
"male",25,"quantity-sequential",0,0,0.285714286,110
"female",28,"quantity-sequential",1,2,0.848484848,226
"male",33,"quantity-sequential",0,0,0.455882353,29
"male",60,"quantity-integrated",1,1,0.227272727,95
"female",35,"quantity-sequential",0,0,0.40625,282
"female",30,"quantity-integrated",0,0,0.40625,190
"female",29,"quantity-integrated",0,0,0.21875,118
"female",50,"quantity-integrated",1,4,0.8125,125
"male",24,"quantity-sequential",0,0,0.257142857,128
"female",24,"quantity-sequential",0,0,0.205882353,119
"female",51,"quantity-integrated",1,2,0.764705882,318
"male",23,"quantity-integrated",1,1,0.796875,339
"male",29,"quantity-sequential",0,0,0.15,114
"female",28,"quantity-integrated",0,0,0.515625,272
"female",43,"quantity-integrated",1,1,0.774193548,165
"male",54,"quantity-sequential",0,0,0.258064516,119
"male",35,"quantity-integrated",0,0,0.409090909,252
"female",39,"quantity-sequential",0,0,0.366666667,106
"female",19,"quantity-integrated",1,1,0.75,168
"female",45,"quantity-sequential",0,0,0.578125,184
"male",38,"quantity-sequential",0,0,0.287878788,332
"female",49,"quantity-sequential",0,0,0.727272727,150
"female",66,"quantity-integrated",0,0,0.409090909,131
"female",56,"quantity-integrated",0,0,0.409090909,179
"other",30,"quantity-integrated",0,0,0.338709677,139
"female",37,"quantity-sequential",0,0,0.40625,151
"male",30,"quantity-integrated",1,1,0.352941176,53
"female",24,"quantity-sequential",0,0,0.3125,98
"male",46,"quantity-sequential",0,0,0.203125,87
"female",42,"quantity-integrated",1,1,0.5,91
"female",30,"quantity-integrated",0,0,0.366666667,151
"female",49,"quantity-sequential",0,0,0.166666667,96
"female",34,"quantity-sequential",1,4,0.515151515,56
"male",20,"quantity-sequential",0,0,0.03125,89
"male",47,"quantity-integrated",0,0,0.578125,175
"female",33,"quantity-sequential",0,0,0.516666667,127
"female",42,"quantity-integrated",1,4,0.78125,228
"male",27,"quantity-integrated",0,0,0.234375,68
"female",24,"quantity-integrated",1,1,0.661290323,366
"female",55,"quantity-integrated",0,0,0.666666667,144
"female",36,"quantity-sequential",0,0,0.352941176,143
"male",34,"quantity-sequential",0,0,0.1,116
"male",32,"quantity-integrated",1,4,0.328125,83
"male",24,"quantity-sequential",1,1,0.3125,71
"male",22,"quantity-sequential",0,0,0.578125,251
"female",27,"quantity-integrated",0,0,0.303030303,280
"female",30,"quantity-sequential",0,0,0.25,89
"male",35,"quantity-sequential",0,0,0.234375,111
"male",26,"quantity-integrated",0,0,0.279411765,169
"female",27,"quantity-integrated",0,0,0.409090909,117
"female",25,"quantity-sequential",1,2,0.451612903,131
"female",61,"quantity-sequential",0,0,0.274193548,122
"male",27,"quantity-integrated",1,1,0.774193548,306
"female",32,"quantity-integrated",1,1,0.640625,157
"female",25,"quantity-sequential",0,0,0.647058824,201
"female",31,"quantity-integrated",0,0,0.45,136
"male",33,"quantity-integrated",1,1,0.333333333,176
"male",39,"quantity-sequential",0,0,0.203125,59
"female",22,"quantity-integrated",0,0,0.375,228
