"condition","order","conf_dying","expertise","ease_imagining","gender"
"video","dying first",80,5,2,2
"no video","pilot first",53,5,3,2
"no video","dying first",26,5,1,1
"no video","pilot first",33,4,3,2
"video","dying first",17,5,4,1
"video","pilot first",60,5,1,2
"video","pilot first",0,5,5,2
"no video","pilot first",0,5,5,2
"no video","pilot first",9,5,4,2
"video","pilot first",17,5,2,2
"video","pilot first",0,5,5,2
"no video","pilot first",80,3,1,1
"video","dying first",20,5,2,2
"no video","dying first",60,3,4,1
"no video","pilot first",25,5,3,2
"video","pilot first",0,5,4,2
"video","pilot first",4,5,1,1
"video","dying first",92,5,1,1
"video","dying first",70,1,4,1
"no video","dying first",7,1,2,2
"no video","dying first",0,5,5,1
"video","dying first",61,5,2,2
"no video","dying first",40,4,3,2
"no video","pilot first",0,5,1,2
"no video","pilot first",21,5,5,2
"no video","pilot first",62,4,5,1
"no video","pilot first",56,5,5,2
"video","dying first",12,5,5,2
"video","dying first",75,5,1,1
"video","dying first",4,4,3,2
"video","pilot first",7,4,3,2
"no video","dying first",0,5,4,2
"no video","dying first",30,5,4,2
"no video","dying first",60,5,4,2
"video","pilot first",65,4,2,2
"no video","dying first",4,1,5,1
"no video","pilot first",6,5,4,2
"video","dying first",0,5,5,2
"video","pilot first",1,5,5,1
"no video","dying first",10,5,1,2
"no video","pilot first",0,5,5,2
"no video","dying first",4,5,4,1
"video","dying first",91,5,2,1
"video","dying first",34,5,4,1
"video","pilot first",40,5,5,2
"no video","pilot first",33,5,3,1
"no video","dying first",66,3,3,2
"video","dying first",91,4,2,2
"no video","pilot first",0,5,2,2
"video","pilot first",70,4,3,2
"video","dying first",70,4,3,2
"no video","dying first",70,4,4,2
"video","dying first",21,5,5,2
"no video","dying first",71,3,1,2
"no video","pilot first",0,5,5,2
"video","dying first",67,5,1,2
"video","pilot first",31,5,3,2
"no video","pilot first",5,5,4,1
"no video","pilot first",40,5,3,2
"video","dying first",30,5,5,2
"video","dying first",71,5,3,1
"video","pilot first",21,5,2,2
"no video","dying first",50,5,1,2
"no video","pilot first",0,5,4,1
"video","dying first",25,5,3,2
"video","pilot first",29,1,4,2
"no video","pilot first",45,5,4,2
"video","dying first",80,5,5,1
"no video","pilot first",15,1,5,1
"video","dying first",31,5,4,1
"no video","pilot first",40,4,2,2
"video","pilot first",9,5,5,2
"no video","dying first",28,5,1,2
"no video","dying first",5,4,5,2
"no video","pilot first",54,5,3,2
"video","dying first",32,3,4,2
"video","dying first",10,5,5,1
"no video","pilot first",40,5,2,2
"no video","pilot first",18,5,5,2
"video","dying first",84,5,4,2
"no video","pilot first",40,5,3,1
"video","dying first",35,5,1,1
"video","dying first",10,5,5,2
"video","dying first",71,5,3,2
"video","pilot first",29,5,4,2
"no video","dying first",50,5,1,1
"no video","pilot first",29,5,1,2
"no video","pilot first",75,5,4,2
"video","pilot first",30,5,4,1
"video","dying first",35,5,4,2
"no video","pilot first",88,4,2,1
"no video","dying first",50,5,4,2
"video","dying first",72,5,4,2
"no video","dying first",29,5,4,1
"no video","pilot first",29,5,5,2
"video","pilot first",30,4,4,2
"no video","dying first",100,1,3,2
"video","pilot first",10,5,5,2
"no video","dying first",73,5,5,2
"video","pilot first",40,5,5,2
"video","pilot first",40,5,2,2
"video","pilot first",18,5,5,2
"no video","pilot first",30,5,4,2
"video","pilot first",30,5,1,2
"no video","dying first",13,1,2,2
"video","dying first",17,4,2,1
"no video","dying first",3,5,5,1
"video","dying first",70,5,3,2
"no video","pilot first",22,4,3,1
"video","pilot first",33,5,2,2
"video","dying first",33,5,4,2
"no video","dying first",2,5,2,2
"no video","pilot first",2,5,1,2
"video","pilot first",40,5,5,1
"video","dying first",20,3,3,2
"no video","pilot first",19,5,2,2
"video","dying first",10,1,1,1
"no video","dying first",65,4,3,1
"video","dying first",1,5,5,2
"no video","dying first",51,4,2,1
"video","pilot first",20,1,4,2
"video","dying first",30,5,3,2
"no video","dying first",9,5,2,2
"video","pilot first",25,5,5,2
"no video","pilot first",10,5,5,2
"video","pilot first",20,5,1,2
"video","pilot first",61,4,4,2
"no video","dying first",9,5,5,2
"no video","dying first",0,5,5,2
"video","pilot first",9,5,4,2
"no video","dying first",54,5,5,2
"video","dying first",27,5,2,1
