"nerror","adaptation","fontsize","position","id","acuity"
0,"PA","-0.2","2","42","normal"
1,"PA","-0.2","3","42","normal"
2,"PA","-0.2","4","42","normal"
2,"PA","-0.2","5","42","normal"
0,"AC","-0.2","1","42","normal"
0,"AC","-0.2","2","42","normal"
2,"AC","-0.2","3","42","normal"
0,"AC","-0.2","4","42","normal"
2,"AC","-0.2","5","42","normal"
0,"PA","-0.1","1","42","normal"
0,"PA","-0.1","2","42","normal"
0,"PA","-0.1","3","42","normal"
0,"PA","-0.1","4","42","normal"
0,"PA","-0.1","5","42","normal"
0,"AC","-0.1","1","42","normal"
0,"AC","-0.1","2","42","normal"
0,"AC","-0.1","3","42","normal"
0,"AC","-0.1","4","42","normal"
0,"AC","-0.1","5","42","normal"
0,"PA","0","1","42","normal"
0,"PA","0","2","42","normal"
0,"PA","0","3","42","normal"
0,"PA","0","4","42","normal"
0,"PA","0","5","42","normal"
0,"AC","0","1","42","normal"
0,"AC","0","2","42","normal"
0,"AC","0","3","42","normal"
0,"AC","0","4","42","normal"
0,"AC","0","5","42","normal"
4,"PA","-0.3","1","17","normal"
4,"PA","-0.3","2","17","normal"
4,"PA","-0.3","3","17","normal"
4,"PA","-0.3","4","17","normal"
4,"PA","-0.3","5","17","normal"
3,"AC","-0.3","1","17","normal"
4,"AC","-0.3","2","17","normal"
4,"AC","-0.3","3","17","normal"
4,"AC","-0.3","4","17","normal"
4,"AC","-0.3","5","17","normal"
0,"PA","-0.2","1","17","normal"
0,"PA","-0.2","2","17","normal"
1,"PA","-0.2","3","17","normal"
1,"PA","-0.2","4","17","normal"
1,"PA","-0.2","5","17","normal"
1,"AC","-0.2","1","17","normal"
0,"AC","-0.2","2","17","normal"
0,"AC","-0.2","3","17","normal"
1,"AC","-0.2","4","17","normal"
1,"AC","-0.2","5","17","normal"
1,"PA","-0.1","1","17","normal"
0,"PA","-0.1","2","17","normal"
0,"PA","-0.1","3","17","normal"
0,"PA","-0.1","4","17","normal"
0,"PA","-0.1","5","17","normal"
0,"AC","-0.1","1","17","normal"
0,"AC","-0.1","2","17","normal"
0,"AC","-0.1","3","17","normal"
0,"AC","-0.1","4","17","normal"
0,"AC","-0.1","5","17","normal"
0,"PA","0","1","17","normal"
0,"PA","0","2","17","normal"
0,"PA","0","3","17","normal"
0,"PA","0","4","17","normal"
0,"PA","0","5","17","normal"
0,"AC","0","1","17","normal"
0,"AC","0","2","17","normal"
0,"AC","0","3","17","normal"
0,"AC","0","4","17","normal"
0,"AC","0","5","17","normal"
4,"PA","-0.3","1","41","normal"
4,"PA","-0.3","2","41","normal"
4,"PA","-0.3","3","41","normal"
4,"PA","-0.3","4","41","normal"
4,"PA","-0.3","5","41","normal"
4,"AC","-0.3","1","41","normal"
4,"AC","-0.3","2","41","normal"
4,"AC","-0.3","3","41","normal"
4,"AC","-0.3","4","41","normal"
4,"AC","-0.3","5","41","normal"
1,"PA","-0.2","1","41","normal"
0,"PA","-0.2","2","41","normal"
2,"PA","-0.2","3","41","normal"
0,"PA","-0.2","4","41","normal"
0,"PA","-0.2","5","41","normal"
0,"AC","-0.2","1","41","normal"
0,"AC","-0.2","2","41","normal"
