"change","regfocus","fluency","engagement","fairness","dopenness","promem","prevem","gender","age","tenure","hours_week"
"negative","prevention",3,3,2.16666666666667,2.875,4.22222222222222,4.88888888888889,"female",26,2,14
"negative","prevention",5,1.66666666666667,1,3,3.22222222222222,2.88888888888889,"female",29,4,18
"negative","prevention",5.33333333333333,5,3.33333333333333,2.75,4.22222222222222,4.66666666666667,"female",43,25,18
"negative","prevention",6.33333333333333,5,1,2.42857142857143,4.77777777777778,5,"female",36,13,25
"negative","prevention",7,4,1,2,3.11111111111111,4.66666666666667,"male",53,26,19
"positive","prevention",4,3.66666666666667,2.5,2.75,4,4.44444444444444,"male",NA,19,NA
"negative","prevention",6,2.33333333333333,1,1,3.88888888888889,4.11111111111111,"female",40,12,40
"negative","prevention",2,6,1,1.5,3.33333333333333,4.22222222222222,"female",32,11,26
"negative","prevention",4.66666666666667,4.33333333333333,3.16666666666667,2.75,4,3.77777777777778,"male",42,16,45
"negative","prevention",7,2.33333333333333,2.16666666666667,2.75,2.55555555555556,4.22222222222222,"female",41,17,26
"negative","promotion",3.66666666666667,2,1,1.375,3,3.66666666666667,"female",48,14,40
"positive","prevention",2,4,1,3.5,4,4.66666666666667,"female",39,15,24
"negative","prevention",3,3,1,1.625,4.22222222222222,5,"female",60,36,18
"negative","prevention",3,4,1.5,2.875,4.55555555555556,4.66666666666667,"female",29,5,30
"negative","promotion",4,3,1.33333333333333,1.25,3.66666666666667,4.88888888888889,"female",57,35,6
"positive","promotion",5,5,3.83333333333333,2.75,3.88888888888889,3.44444444444444,"female",36,13,47
"positive","promotion",6.33333333333333,3.33333333333333,1,1.875,3,3.33333333333333,"female",43,20,20
"positive","promotion",6.33333333333333,3.33333333333333,1,1.875,3,3.33333333333333,"female",43,20,20
"negative","prevention",5.66666666666667,1.66666666666667,1,2.375,3,3.66666666666667,"female",48,27,20
"positive","prevention",7,7,4.83333333333333,5,4.55555555555556,4.88888888888889,"female",25,2,42
"negative","promotion",5,7,1.2,1,3.55555555555556,4.22222222222222,"female",57,34,20
"negative","prevention",3.66666666666667,7,1,1,3.33333333333333,3.77777777777778,"female",40,13,40
"negative","promotion",6,2.66666666666667,2.16666666666667,2.625,3.44444444444444,4.22222222222222,"female",37,16,40
"negative","prevention",3,3,1.5,3.125,3.11111111111111,3.66666666666667,"male",26,6,52
"negative","prevention",3,6,1.16666666666667,1.125,4.11111111111111,3.77777777777778,"male",56,30,21
"negative","prevention",2,6,1,1.5,3.33333333333333,4.22222222222222,"female",36,11,26
"positive","promotion",6,5.33333333333333,1.33333333333333,4.25,4.33333333333333,3.88888888888889,"female",50,25,20
"positive","prevention",7,2,1,3,4.22222222222222,4.77777777777778,"female",30,4,30
"positive","prevention",4,2.66666666666667,1.33333333333333,1,3.77777777777778,3.11111111111111,"female",39,14,40
"negative","prevention",3.33333333333333,1,2.66666666666667,2.875,3.44444444444444,4.77777777777778,"male",51,27,40
"positive","promotion",3.33333333333333,3.33333333333333,1.66666666666667,3,3.44444444444444,5,"female",51,30,45
"negative","promotion",3.33333333333333,3.33333333333333,2.16666666666667,2.5,3.77777777777778,4.55555555555556,"female",30,5,36
