"id","stimulus","epoch","latency"
"1","real","11",-15.1923796
"1","real","12",-0.770704923
"1","real","14",-14.45258722
"1","real","16",-16.15483924
"1","real","17",-1.176306016
"1","real","18",-4.663281726
"1","real","19",-6.750284861
"1","real","20",-10.67840229
"1","real","21",-11.75625112
"1","real","22",-11.99710514
"1","real","24",-6.39785881
"1","real","25",-7.716892764
"1","real","26",-5.387615671
"1","real","27",-32.01890451
"1","real","28",-12.4376565
"1","real","29",-0.346644271
"1","real","31",-16.3973946
"1","real","32",-10.83868191
"1","real","33",-13.62452663
"1","real","34",-19.54527406
"1","real","35",-19.31181008
"1","real","36",-17.08214912
"1","GAN1","1",-14.87022433
"1","GAN1","2",-2.266429987
"1","GAN1","3",-2.29832346
"1","GAN1","4",-4.299469466
"1","GAN1","5",-10.64270666
"1","GAN1","6",-0.985344157
"1","GAN1","7",-16.80386854
"1","GAN1","8",-11.13332362
"1","GAN1","9",-7.426012717
"1","GAN1","10",-5.120460389
"1","GAN1","11",-13.14493029
"1","GAN1","13",-5.996437976
"1","GAN1","14",-18.88164728
"1","GAN1","15",-13.75582099
"1","GAN1","16",-9.488334581
"1","GAN1","17",-11.09176997
"1","GAN1","18",-21.01492016
"1","GAN1","19",-10.92480451
"1","GAN1","20",-8.570181697
"1","GAN1","21",-19.5694295
"1","GAN1","22",-7.079011655
"1","GAN1","23",-10.43125965
"1","GAN1","24",-3.685315446
"1","GAN1","25",-5.531013645
"1","GAN1","27",-12.11979476
"1","GAN1","28",-17.69307173
"1","GAN1","29",-2.364404652
"1","GAN1","30",-10.20445186
"1","GAN1","31",-8.379110648
"1","GAN1","33",-4.169252857
"1","GAN1","34",-4.944288358
"1","GAN1","35",-11.87751394
"1","GAN2","1",-4.62674947
"1","GAN2","2",-3.837734488
"1","GAN2","3",-12.72091025
"1","GAN2","4",-8.154661202
"1","GAN2","5",-2.747808116
"1","GAN2","6",-7.531233772
"1","GAN2","7",-18.46299687
"1","GAN2","8",-15.45547957
"1","GAN2","9",-6.633131423
"1","GAN2","10",-26.72617934
"1","GAN2","11",-8.63047355
"1","GAN2","12",-20.79230296
"1","GAN2","14",-6.475402032
"1","GAN2","16",-12.05709585
"1","GAN2","17",-8.815295903
"1","GAN2","18",-9.951248034
"1","GAN2","19",-2.500857837
"1","GAN2","21",-6.205818315
"1","GAN2","22",-0.094314312
"1","GAN2","23",-4.755917538
"1","GAN2","24",-6.07508019
"1","GAN2","25",-13.49137912
"1","GAN2","26",-12.62428693
"1","GAN2","28",-4.2716858
"1","GAN2","29",-18.61414312
"1","GAN2","31",-4.327822785
"1","GAN2","33",-15.2426039
"1","GAN2","34",-20.77106872
"1","GAN2","35",-10.52952089
"1","GAN2","36",-3.45899761
"1","GAN2","37",-13.67223018
"5","real","2",-18.15850362
"5","real","3",-18.43259987
"5","real","4",-15.37910153
"5","real","5",-8.741994968
"5","real","7",-10.14929732
"5","real","8",-11.82616592
"5","real","9",-16.52710722
"5","real","10",-24.21016811
"5","real","11",-20.90694568
"5","real","12",-5.739303419
"5","real","13",-7.793381959
"5","real","14",-6.390849518
"5","real","15",-24.78424608
"5","real","16",-16.69850855
"5","real","17",-14.57902806
"5","real","18",-9.233777528
"5","real","19",-27.46192262
"5","real","20",-14.03758823
"5","real","21",-4.85953286
"5","real","22",-22.69308067
"5","real","23",-12.36540941
"5","real","24",-24.60762503
"5","real","25",-7.204690889
"5","real","26",-14.22912679
"5","real","27",-15.0947341
"5","real","28",-16.23468236
"5","real","29",-16.93248474
"5","real","30",-11.38794449
"5","real","31",-13.53126191
"5","real","32",-23.14207103
"5","real","33",-14.6262539
"5","real","34",-16.26184174
"5","real","35",-21.37262858
"5","real","36",-16.36926161
"5","real","37",-20.02859192
"5","real","38",-16.71049736
"5","real","39",-10.79882197
"5","real","40",-18.33417705
"5","GAN1","1",-11.13800232
"5","GAN1","2",-7.488382137
"5","GAN1","3",-3.359837737
"5","GAN1","4",-31.73077601
"5","GAN1","5",-9.31532031
"5","GAN1","6",-13.84468727
"5","GAN1","7",-7.029539175
"5","GAN1","8",-8.260469557
"5","GAN1","9",-14.40250993
"5","GAN1","10",-3.872334747
"5","GAN1","11",-24.76623801
"5","GAN1","12",-19.49362693
