DROP,Participant,Age,Gender,Year,Anchortype,magnitude,Condition,pen,Proteindrink,lebron,slidy,Cheese,Figurine,TV,beachhouse,number,Notes,PenD,ProteindrinkD,SlidyD,CheeseD,FigurineD,TVD,LebronD,beachhouseD,NumberD,ZPenD,ZProteindrinkD,ZSlidyD,ZCheeseD,ZFigurineD,ZTVD,ZLebronD,ZbeachhouseD,ZNumberD,SUM2,mean,ZSco01,ZSco02,ZSco03,ZSco04,ZSco05,ZSco06,ZSco07,ZSco08,ZSco09,mean2
0,54,19,f,soph,0,0,4,3.6,9.9,.47,15,.75,20,550,689999,12,headphones in ears,.4,.0999999999999996,25,4.25,30,4450,.03,110001,9988,.084529042834335,.0137728664364965,1.46676477482641,1.66610687471158,.650754973226382,2.34666408505196,-.388391806185112,.319361678896751,.632249384540679,.67918118743395,.754645763815499,.0866751804838993,.027179435305192,1.49007885139248,1.66725868014855,.665284374616747,2.44035221769933,-.384499141443322,.307437653157591,.630515445369117,.770031410747732
0,58,21,m,jr,0,0,4,3.8,9.5,.485,37,3.5,35,4000,780000,9850, ,.2,.5,3,1.5,15,1000,.015,20000,150,.0801563701868303,.0539088865810139,-.671490990819906,-.3751420896034,-.158114777454531,-.350361776021262,-.604811446539909,-.565289296494336,-.116358429927555,-.270750355009305,-.300833727788117,.0823961448348576,.0664809233199299,-.671663028038729,-.394401920327416,-.132232773869914,-.317231723956728,-.60020864393292,-.558737257631344,-.102516854619523,-.29201279269131
0,62,20,m,soph,0,0,4,3.5,9.8,.485,30,2,35,4800,650000,9600, ,.5,.199999999999999,10,3,15,200,.015,150000,400,.0867153791580873,.0238068714726258,.00886311643119601,.738266436386591,-.158114777454531,-.975759077139692,-.604811446539909,.712525692237359,-.0973350559067115,-.0265842861354983,-.0295380957061093,.0888146983084202,.0370048073088765,.0161639335984741,.730140225386745,-.132232773869914,-.956671478543641,-.60020864393292,.692390378756713,-.0838892804177385,-.0231653481561094
0,65,20,f,soph,0,0,4,3,8.5,.53,32,4,30,4100,780000,9996,1 headphone in ear,1,1.5,8,1,20,900,-.03,20000,4,.0976470607768489,.154248936942307,-.185523771354833,-.746278264933397,.11150847277244,-.428536438661066,-1.2540703676043,-.565289296494336,-.127468080355728,-.294376174891206,-.327084638768007,.0995122874310244,.164734643356774,-.180358055440727,-.769249302232137,.13360627562564,-.397161693280092,-1.24733715140171,-.558737257631344,-.113395357953366,-.318709512391771
0,73,19,m,frosh,0,0,4,3.6,7,.48,38,3,15,4000,750000,98512, ,.4,3,2,2,35,1000,.02,50000,-88512,.084529042834335,.304759012484247,-.76868443471292,-.00400591427340273,.920378223453353,-.350361776021262,-.532671566421643,-.270408914479329,-6.86295997967166,-.747942630680829,-.831047367423143,.0866751804838993,.312115223412041,-.76992402255833,-.0195545384226958,.931123424112301,-.317231723956728,-.528305476436387,-.270015495387947,-6.70874879013415,-.809318468765333
0,77,19,f,soph,0,0,4,3.9,9.8,.498,38,4.8,49.5,4999,799999,9998,talked about survey when done and other still taking,.1,.199999999999999,2,.2,.5,1,.002,1,2,.077970033863078,.0238068714726258,-.76868443471292,-1.34009614546139,-.940022203112747,-1.1313266557929,-.792375134847399,-.761866388491607,-.127620267347894,-.576021432443116,-.640023813825684,.0802566270103368,.0370048073088765,-.76992402255833,-1.36900511327969,-.90316601740702,-1.11573211749714,-.787156879423905,-.751208808401535,-.11354437854698,-.63249732253282
0,85,19,f,frosh,0,0,4,3,8,.46,35,2,40,4500,705000,8500, ,1,2,5,3,10,500,.04,95000,1500,.0976470607768489,.204418962122954,-.477104103033877,.738266436386591,-.427738027681502,-.741235089220281,-.244112045948582,.17191165854318,-.0136322102150001,-.0691577358269667,-.0768419286966296,.0995122874310244,.213861503375197,-.475141038999528,.730140225386745,-.398071823365468,-.716881570573549,-.240692806450258,.16306714797715,-.00192795392988476,-.0695704476831746
0,89,19,f,frosh,0,0,4,3.8,9,.49,38,3,40,3500,750000,9800, ,.2,1,2,2,10,1500,.01,50000,200,.0801563701868303,.104078911761661,-.76868443471292,-.00400591427340273,-.427738027681502,.0405115371777561,-.676951326658174,-.270408914479329,-.112553755123386,-.203559555380247,-.22617728375583,.0823961448348576,.115607783338352,-.76992402255833,-.0195545384226958,-.398071823365468,.0824181226600921,-.672111811429453,-.270015495387947,-.0987913397791664,-.21644966445664
0,93,19,f,soph,0,0,4,4.5,9.5, ,36,1,10,4000,500000,8979,chatted w/ friends,-.5,.5,4,4,40,1000, ,300000,1021,.0648520159205641,.0539088865810139,-.574297546926891,1.48053878704658,1.19000147368032,-.350361776021262, ,2.18692760231239,-.0500809948389363, ,.500186055969224,.0674195200632118,.0664809233199299,-.573402033519129,1.47983498919619,1.19696247360786,-.317231723956728, ,2.1359991899737,-.0376183861005047,.502305619073065
0,97,20,m,soph,0,0,4,3.55,5,.47,37,2.5,30,3575,730000,8963, ,.45,5,3,2.5,20,1425,.03,70000,1037,.0856222109962112,.505439113206834,-.671490990819906,.367130261056594,.11150847277244,-.0181194598020967,-.388391806185112,-.0738219931359917,-.0488634989016023,-.0130987690812629,-.0145541878680699,.0877449393961597,.50862266348573,-.671663028038729,.355292843482025,.13360627562564,.0224706456675691,-.384499141443322,-.0775343205590147,-.0364262213515905,-.00693170485950371
