participant_id,labLocale,taskOrder,timing,trial_type,age_group,maxWrong,maxCorrect,prodSpeech_category,producer
Bristol.4006,Bristol,first,delayed,experimental,10yo,5,5,Usually,Yes
Bristol.4006,Bristol,point-and-name,point-and-name,point and name,10yo,5,4,Usually,Yes
Bristol.4006,Bristol,second,immediate,experimental,10yo,5,5,Usually,Yes
Bristol.4007,Bristol,first,delayed,experimental,10yo,5,3,Never,No
Bristol.4007,Bristol,point-and-name,point-and-name,point and name,10yo,5,4,Never,No
Bristol.4007,Bristol,second,immediate,experimental,10yo,5,4,Never,No
Bristol.4008,Bristol,first,delayed,experimental,10yo,5,3,Usually,Yes
Bristol.4008,Bristol,point-and-name,point-and-name,point and name,10yo,5,4,Usually,Yes
Bristol.4008,Bristol,second,immediate,experimental,10yo,5,5,Usually,Yes
Bristol.4009,Bristol,first,delayed,experimental,10yo,5,4,Usually,Yes
Bristol.4009,Bristol,point-and-name,point-and-name,point and name,10yo,5,4,Usually,Yes
Bristol.4009,Bristol,second,immediate,experimental,10yo,5,4,Usually,Yes
Bristol.4010,Bristol,first,delayed,experimental,10yo,5,4,Sometimes,Yes
Bristol.4010,Bristol,point-and-name,point-and-name,point and name,10yo,5,4,Sometimes,Yes
Bristol.4010,Bristol,second,immediate,experimental,10yo,5,5,Sometimes,Yes
Cardiff.10,Cardiff,first,delayed,experimental,5yo,5,1,Usually,Yes
Cardiff.10,Cardiff,point-and-name,point-and-name,point and name,5yo,5,1,Usually,Yes
Cardiff.10,Cardiff,second,immediate,experimental,5yo,5,2,Usually,Yes
Cardiff.11,Cardiff,first,immediate,experimental,5yo,5,2,Never,No
Cardiff.11,Cardiff,point-and-name,point-and-name,point and name,5yo,5,3,Never,No
Cardiff.11,Cardiff,second,delayed,experimental,5yo,5,2,Never,No
Cardiff.12,Cardiff,first,delayed,experimental,5yo,5,2,Usually,Yes
Cardiff.12,Cardiff,point-and-name,point-and-name,point and name,5yo,5,3,Usually,Yes
Cardiff.12,Cardiff,second,immediate,experimental,5yo,5,3,Usually,Yes
Cardiff.13,Cardiff,first,delayed,experimental,5yo,5,1,Sometimes,Yes
Cardiff.13,Cardiff,point-and-name,point-and-name,point and name,5yo,5,1,Sometimes,Yes
Cardiff.13,Cardiff,second,immediate,experimental,5yo,5,1,Sometimes,Yes
Cardiff.14,Cardiff,first,delayed,experimental,6yo,5,2,Usually,Yes
Cardiff.14,Cardiff,point-and-name,point-and-name,point and name,6yo,5,4,Usually,Yes
Cardiff.14,Cardiff,second,immediate,experimental,6yo,5,3,Usually,Yes
Cardiff.16,Cardiff,first,immediate,experimental,6yo,5,3,Usually,Yes
Cardiff.16,Cardiff,point-and-name,point-and-name,point and name,6yo,5,4,Usually,Yes
Cardiff.16,Cardiff,second,delayed,experimental,6yo,5,3,Usually,Yes
Cardiff.17,Cardiff,first,immediate,experimental,6yo,5,2,Usually,Yes
Cardiff.17,Cardiff,point-and-name,point-and-name,point and name,6yo,5,2,Usually,Yes
Cardiff.17,Cardiff,second,delayed,experimental,6yo,5,2,Usually,Yes
Cardiff.19,Cardiff,first,delayed,experimental,7yo,5,2,Usually,Yes
