electrode,Value,epoch,stimuli,participant
Fz,-19.55881071,39,SH,p6_exp2
C3,-13.78978354,0,SH,p6_exp2
C3,-21.82208981,1,SH,p6_exp2
C3,-19.78664445,2,SH,p6_exp2
C3,-33.1632117,3,SH,p6_exp2
C3,-28.91334086,4,SH,p6_exp2
C3,-26.15502484,5,SH,p6_exp2
C3,-27.69106213,6,SH,p6_exp2
C3,-17.6629813,7,SH,p6_exp2
C3,-14.91787055,8,SH,p6_exp2
C3,-19.62224719,9,SH,p6_exp2
C3,-23.76050705,10,SH,p6_exp2
C3,-2.740263875,11,SH,p6_exp2
C3,-8.330193712,12,SH,p6_exp2
C3,-18.36990688,13,SH,p6_exp2
C3,-21.19585579,14,SH,p6_exp2
C3,-8.27843202,15,SH,p6_exp2
C3,-17.13611966,16,SH,p6_exp2
C3,-1.341484137,17,SH,p6_exp2
C3,-6.815709478,18,SH,p6_exp2
C3,-11.56468915,19,SH,p6_exp2
C3,-9.5203409,20,SH,p6_exp2
C3,-24.44085585,21,SH,p6_exp2
C3,-22.70204429,22,SH,p6_exp2
C3,-23.03706579,23,SH,p6_exp2
C3,-11.03324765,24,SH,p6_exp2
C3,-26.18841771,25,SH,p6_exp2
C3,-14.69251015,26,SH,p6_exp2
C3,-5.772066773,27,SH,p6_exp2
C3,-18.92883653,28,SH,p6_exp2
C3,-7.15363215,29,SH,p6_exp2
C3,-12.38767254,30,SH,p6_exp2
C3,-16.85409368,31,SH,p6_exp2
C3,-25.06894384,32,SH,p6_exp2
C3,-15.8445441,33,SH,p6_exp2
C3,-13.08516885,34,SH,p6_exp2
C3,-36.09022654,35,SH,p6_exp2
C3,-12.10593258,36,SH,p6_exp2
C3,-7.072515843,37,SH,p6_exp2
C3,-17.39313374,38,SH,p6_exp2
C3,-20.47891154,39,SH,p6_exp2
Cz,-5.447104113,0,SH,p6_exp2
Cz,-14.92384861,1,SH,p6_exp2
Cz,-15.51772368,2,SH,p6_exp2
Cz,-14.96971773,3,SH,p6_exp2
Cz,-23.25666223,4,SH,p6_exp2
Cz,-1.553170599,5,SH,p6_exp2
Cz,-25.56968485,6,SH,p6_exp2
Cz,-8.049953469,7,SH,p6_exp2
Cz,-18.39065862,8,SH,p6_exp2
Cz,-17.96965329,9,SH,p6_exp2
Cz,-5.620842441,10,SH,p6_exp2
Cz,-18.11058615,12,SH,p6_exp2
Cz,-9.708996435,13,SH,p6_exp2
Cz,-4.164786329,14,SH,p6_exp2
Cz,-8.530548618,15,SH,p6_exp2
Cz,-12.64122067,16,SH,p6_exp2
Cz,-4.608839292,17,SH,p6_exp2
Cz,-8.794908381,18,SH,p6_exp2
Cz,-6.302141171,19,SH,p6_exp2
Cz,-21.95454144,20,SH,p6_exp2
Cz,-12.38724804,21,SH,p6_exp2
Cz,-18.61077273,22,SH,p6_exp2
Cz,-18.02756349,23,SH,p6_exp2
Cz,-4.481190909,24,SH,p6_exp2
Cz,-26.51388727,25,SH,p6_exp2
Cz,-10.84878336,26,SH,p6_exp2
Cz,-8.956623751,27,SH,p6_exp2
Cz,-22.43162455,28,SH,p6_exp2
Cz,-8.754864282,29,SH,p6_exp2
Cz,-6.75187571,30,SH,p6_exp2
Cz,-12.56943123,31,SH,p6_exp2
Cz,-27.87334769,32,SH,p6_exp2
Cz,-16.06273509,33,SH,p6_exp2
Cz,-15.26050444,34,SH,p6_exp2
